the_geom,cartodb_id,the_geom_webmercator,objectid,_ds_write_method,access_direction,access_direction_cardinal,accessible,baby_change_facilities,bbq,boat_ramp,caravan_disposal,carriageway_code,carriageway_configuration,category,construction_date,description,distance_from,driver_reviver,emergency_phones,entry_taper,exit_taper,food_available,fuel_available,guid,heavy_vehicle_parking_capacity,heavy_vehicles_parking_type,last_updated,latitude,lga,light_vehicle_parking_capacity,light_vehicles_parking_type,lighting,link_no,litter_bins,longitude,lookout,ne_unique,pets_allowed,picnic_table,playground,power_outlets,power_supply,region,responsible_authority,rest_area_name,rest_area_number,road_name,road_number,separated_parking_areas_light_heavy,shade,shelter,side_of_road,sign_non_potable,site_status,sports_ground,suburb,invalid_the_geom,toilets,tourist_information,tree_shading,vehicle_type,water_supply_type
0104000020E6100000010000000101000000A054FB743CB9624060AECE3120DB3DC0,3631,0104000020110F000001000000010100000070469540CBCD6F418723D91FBC964AC1,,,Both,Both Directions,,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,46.2km South of Moree,,,,,,,,,,2024-04-17 00:00:00+00,-29.85596,NARRABRI,,,,3251,TRUE,149.78863,,"0000017,3251,A1",,,,,,West,Transport for NSW,North of Tookey Ck Truck Park,3001,NEWELL HIGHWAY,17,,,,Left,,,,BELLATA,,0,,,HEAVY VEHICLES ONLY,None
0104000020E6100000010000000101000000D578E92631ED61401B9CF2936A9F3FC0,3632,0104000020110F000001000000010100000052B2975434736E419F230702B0554CC1,,,Counter,Southbound,TRUE,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,252.0km West of Cobar,,,,,,,,,,2024-04-17 00:00:00+00,-31.62272,CENTRAL DARLING,,,,235,TRUE,143.41225,,"0000008,0235,A2",,TRUE,,,,West,Transport for NSW,Wilcannia RS,1298,BARRIER HIGHWAY,8,,TRUE,,Right,,,,WILCANNIA,,0,,TRUE,HEAVY VEHICLES ONLY,None
0104000020E61000000100000001010000008FA50F5D50CA62404F9611C2A3C141C0,3650,0104000020110F000001000000010100000080542160CDEA6F41B6A8C58C8F2650C1,,,Counter,,,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,4KM SOUTH OF BAWLEY POINT RD N/B,,,,,,,,,,2024-04-17 00:00:00+00,-35.51281,SHOALHAVEN,,,,1850,,150.32231,,"0000001,1850,A1",,,,,,South,Transport for NSW,4KM SOUTH OF BAWLEY POINT RD N/B,3146,PRINCES HIGHWAY,1,,,,Right,,,,TERMEIL,,0,,,HEAVY VEHICLES ONLY,None
0104000020E6100000010000000101000000AED3484BE545624061FB6DFAB3EF40C0,3633,0104000020110F000001000000010100000049E71465E0096F41F2F8516C639B4EC1,,,Both,Both Directions,TRUE,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,99km from West Wyalong and 156km to Hay,,,,,,,,,,2024-04-17 00:00:00+00,-33.87268,CARRATHOOL,,,,745,TRUE,146.18424,,"0000006,0745,A1",,TRUE,,,,South,Transport for NSW,John Oxley Rest Area,1264,MID WESTERN HIGHWAY,6,,TRUE,TRUE,Left,,,,RANKINS SPRINGS,,2,,TRUE,BOTH LIGHT AND HEAVY VEHICLES,Water Truck
0104000020E610000001000000010100000046D3D9C9E0D362404C398386FE913DC0,3634,0104000020110F0000010000000101000000731F8D450CFB6F41B9A98FAD384F4AC1,,,Counter,Eastbound,,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,55.47km West of Inverell,,,,,,,,,,2024-04-17 00:00:00+00,-29.57029,GWYDIR,,,,510,TRUE,150.62119,,"0000012,0510,A1",,,,,,North,Transport for NSW,Tigers Gap Eastbound,1146,GWYDIR HIGHWAY,12,,,,Right,,,,WARIALDA,,0,,,BOTH LIGHT AND HEAVY VEHICLES,None
0104000020E610000001000000010100000048F949B54FA562400CA19526A5CC40C0,3635,0104000020110F0000010000000101000000D931FE1DF3AB6F41759F75DBC7534EC1,,,Both,Both Directions,,,,,,A,,Light Vehicle Only Rest Area,,,10.3km East of Mandurama,,,,,,,,,,2024-04-17 00:00:00+00,-33.59879,BLAYNEY,,,,150,TRUE,149.16598,,"0000006,0150,A1",,TRUE,,,,West,Transport for NSW,,747,MID WESTERN HIGHWAY,6,,TRUE,,Left,,,,CARCOAR,,0,,TRUE,Light Vehicle Only,None
0104000020E6100000010000000101000000ABB2EF8AE0A962409F53990D329541C0,3636,0104000020110F00000100000001010000004A3C1280B4B36F41DF885E7F93F04FC1,,,Counter,Westbound,,,,,,C,,Class 5 Heavy Vehicle Rest Area,,,66km South of Goulburn,,,,,,,,,,2024-04-17 00:00:00+00,-35.16559,QUEANBEYAN-PALERANG REGIONAL,,,,1031,,149.30866,,"0000003,1031,C2",,,,,,South,Transport for NSW,Truck Stopping Area Donnellys,325,FEDERAL HIGHWAY,3,,,,Right,,,,BYWONG,,0,,,BOTH LIGHT AND HEAVY VEHICLES,None
0104000020E6100000010000000101000000A79196CADBDC62406068984C154C3FC0,3637,0104000020110F0000010000000101000000428701AE26057041CBDB8955B7024CC1,,,Both,Both Directions,,,,,,A,Physical Seperation,Class 4 Heavy Vehicle Rest Area,,,132.3km North of Muswellbrook,,,,,,,,,,2024-04-17 00:00:00+00,-31.2972,TAMWORTH REGIONAL,,,,860,TRUE,150.90183,,"0000009,0860,A1",,TRUE,,,,North,Transport for NSW,Goonoo Goonoo Rest Area,1608,NEW ENGLAND HIGHWAY,9,,TRUE,,Right,,Open,,GOONOO GOONOO,,1,,TRUE,HEAVY VEHICLES ONLY,Rainwater Tank
0104000020E61000000100000001010000000C3CF71E2EAE6240A8965E46B17441C0,3638,0104000020110F000001000000010100000034FB4AA403BB6F413913EA4725AD4FC1,,,Prescribed,Northbound,TRUE,,,,,B,,Class 5 Heavy Vehicle Rest Area,,,56km North of Canberra,,,,,,,,,,2024-04-17 00:00:00+00,-34.91166,UPPER LACHLAN SHIRE,,,,1070,TRUE,149.44313,,"0000003,1070,B3",,TRUE,,,,South,Transport for NSW,Gratwick VC Rest Area,332,FEDERAL HIGHWAY,3,,TRUE,,Left,,,,COLLECTOR,,0,,TRUE,BOTH LIGHT AND HEAVY VEHICLES,Water Truck
0104000020E61000000100000001010000005C1B2AC6F9936240FF59EA04343542C0,3639,0104000020110F0000010000000101000000293CECD6808E6F4103F5857BD39F50C1,,,Prescribed,Both Directions,,,,,,B,,Service Centre,,,At Jindabyne,,,,,,,,,,2024-04-17 00:00:00+00,-36.41565,SNOWY MONARO REGIONAL,,,TRUE,100,TRUE,148.62424,,"0000286,0100,B1",,,,,,South,Council,Jindabyne Information Bay nr Banjo Paterson Inn,3243,KOSCIUSZKO ROAD,286,,,,Left,,,,JINDABYNE,,0,,,Light Vehicle Only,None
