topoid,poigroup,poitype,poiname,poilabel,poilabeltype,poialtlabel,poisourcefeatureoid,accesscontrol,startdate,enddate,lastupdate,msoid,centroidid,shapeuuid,changetype,processstate,urbanity,cadid,createdate,modifieddate,lganame,councilname,abscode,ltocode,vgcode,wbcode
517492346,2,Preschool,AUSTRALIA STREET INFANTS PUBLIC SCHOOL PRESCHOOL,AUSTRALIA STREET INFANTS PUBLIC SCHOOL PRESCHOOL,NAMED,,35,1,20140708111735,30000101000000,20140708111812.362,166744,,d3c24bec-2c89-3e8a-b0b0-e23df6e80e03,M,,U,,,,,,,,,
517492413,2,Preschool,CAMDENVILLE PUBLIC SCHOOL PRESCHOOL,CAMDENVILLE PUBLIC SCHOOL PRESCHOOL,NAMED,,35,1,20131121085932,30000101000000,20131121090122.515,164499,,6f08bc19-32a7-3075-a7c3-d3242c9a3d1e,I,,U,,,,,,,,,
517492458,2,Preschool,DARLINGTON PUBLIC SCHOOL PRESCHOOL,DARLINGTON PUBLIC SCHOOL PRESCHOOL,NAMED,,35,1,20140611123607,30000101000000,20140611123856.463,166442,,32aefe14-099d-3ad2-9c3e-aa567dbeb8f3,M,,U,,,,,,,,,
517492529,2,Preschool,PLUNKETT STREET PUBLIC SCHOOL PRESCHOOL,PLUNKETT STREET PUBLIC SCHOOL PRESCHOOL,NAMED,,35,1,20140611123607,30000101000000,20140611123856.465,166443,,cfd38800-9cf7-3133-bd9a-8d31734bd93a,M,,U,,,,,,,,,
517508256,3,Park,BAMAL WAY,BAMAL WAY,NAMED,,61,1,20140219150005,30000101000000,20140219150110.035,165217,,125d8be7-2e0d-324b-a330-93e7d5e9fbbc,I,,U,,,,,,,,,
517521915,2,Combined Primary-Secondary School,ST ANDREW'S CATHEDRAL GAWURA SCHOOL,ST ANDREW'S CATHEDRAL GAWURA SCHOOL,NAMED,,32,1,20150603150827,30000101000000,20150603151042.691,188526,,2ce7fa83-9b84-39b5-a6ff-3ca8e3c3fc91,M,,U,,,,,,,,,
517563413,1,General Hospital,ROYAL PRINCE ALFRED INSTITUTE OF RHEUMATOLOGY & ORTHOPAEDICS,ROYAL PRINCE ALFRED INSTITUTE OF RHEUMATOLOGY & ORTHOPAEDICS,NAMED,,12,1,20211124092918,30000101000000,20211124092938.295,234374,,fc5e0451-02c8-3b00-8c16-6fe16bef44a7,M,,U,,,,,,,,,
517563517,1,General Hospital,CHRIS O'BRIEN LIFEHOUSE,CHRIS O'BRIEN LIFEHOUSE,NAMED,,12,1,20211119134930,30000101000000,20211119134953.78,234227,,31303234-8e77-3f21-b5a6-5082af439d5b,M,,U,,,,,,,,,
517563523,1,General Hospital,COMMONWEALTH DEFENCE FORCE HOSPITALS,COMMONWEALTH DEFENCE FORCE HOSPITALS,NAMED,,12,1,20140826113938,30000101000000,20140826114039,167043,,2291aa42-3f24-38bc-914e-1366e64d4692,I,,U,,,,,,,,,
517564625,2,University,SYDNEY CONSERVATORIUM OF MUSIC,SYDNEY CONSERVATORIUM OF MUSIC,NAMED,,39,1,20140826092606,30000101000000,20140826092648,166989,,5c2ff5bf-1920-31e5-ab32-ba9205163973,I,,S,,,,,,,,,
